handle_norm,month,award_usd
chainsentry,2025-11,0.0
cheng9061,2025-11,0.0
classic-k,2025-11,0.0
count-sum,2025-11,0.0
cpsec,2025-11,0.0
cryptolyndon,2025-11,0.0
cybereth,2025-11,0.0
d33p,2025-11,0.0
daniel_eth,2025-11,0.0
darkwingcipher,2025-11,0.0
deividrobinson,2025-11,0.0
demaxl,2025-11,0.0
diavolo,2025-11,0.0
dimulski,2025-11,0.0
dinesh11g,2025-11,0.0
dray,2025-11,0.0
duan,2025-11,0.0
egbe,2025-11,0.0
eloujoe,2025-11,0.0
etherengineer,2025-11,0.0
ethworker,2025-11,0.0
eurovickk,2025-11,0.0
evdoc,2025-11,0.0
falde,2025-11,0.0
falendar,2025-11,0.0
farman1094,2025-11,0.0
fathomhewclaim,2025-11,0.0
felconsec,2025-11,0.0
flare,2025-11,0.0
fon,2025-11,0.0
fromeo_016,2025-11,0.0
gabkov,2025-11,0.0
gakarot,2025-11,0.0
galer_ah,2025-11,0.0
gbrigandi,2025-11,0.0
guilherme,2025-11,0.0
hacktwist,2025-11,0.0
happykilling,2025-11,0.0
hark017,2025-11,0.0
hezze,2025-11,0.0
hrmneffdii,2025-11,0.0
iam_emptyset,2025-11,0.0
igbinosuneric,2025-11,0.0
insomnia,2025-11,0.0
ishenxx,2025-11,0.0
itsravin0x,2025-11,0.0
j3x,2025-11,0.0
jasonxiale,2025-11,0.0
jiangling,2025-11,0.0
johnyfwesh,2025-11,0.0
josh4324,2025-11,0.0
joshuam33,2025-11,0.0
juggernaut63,2025-11,0.0
kalogerone,2025-11,0.0
keepitfortoby,2025-11,0.0
khaye26,2025-11,0.0
kimnoic,2025-11,0.0
kind0dev,2025-11,0.0
kkkkk,2025-11,0.0
kmkm,2025-11,0.0
lazlosoot,2025-11,0.0
legendweb3,2025-11,0.0
lodelux,2025-11,0.0
lubuseb,2025-11,0.0
madsisyphus,2025-11,0.0
mahdifa,2025-11,0.0
mathriel,2025-11,0.0
mbuba666,2025-11,0.0
meshaqrapha,2025-11,0.0
mrmorningstar,2025-11,0.0
mrunal2610,2025-11,0.0
mser,2025-11,0.0
mysteryauditor,2025-11,0.0
nachin,2025-11,0.0
nathan47,2025-11,0.0
nutledger,2025-11,0.0
oakcobalt,2025-11,0.0
oldguard,2025-11,0.0
orangesantra,2025-11,0.0
osok,2025-11,0.0
oxhsn,2025-11,0.0
pecata17107,2025-11,0.0
pentestmonkey,2025-11,0.0
piyushmali,2025-11,0.0
poteater,2025-11,0.0
psycharis,2025-11,0.0
pv,2025-11,0.0
queen,2025-11,0.0
radev_sw,2025-11,0.0
ravi,2025-11,0.0
ravisai,2025-11,0.0
renacoder,2025-11,0.0
richa,2025-11,0.0
rotitelur,2025-11,0.0
rubencrxz,2025-11,0.0
sabit,2025-11,0.0
shaedyways,2025-11,0.0
shiazinho,2025-11,0.0
shiraga94,2025-11,0.0
silver_eth,2025-11,0.0
skipper,2025-11,0.0
sneks,2025-11,0.0
soprobro,2025-11,0.0
soyaya,2025-11,0.0
spektor,2025-11,0.0
sri,2025-11,0.0
stador,2025-11,0.0
sudais_b,2025-11,0.0
supheli,2025-11,0.0
synthrax,2025-11,0.0
th3_hybrid,2025-11,0.0
themilg,2025-11,0.0
thewitchdoctor,2025-11,0.0
trachev,2025-11,0.0
tradingview,2025-11,0.0
uddercover,2025-11,0.0
utsav,2025-11,0.0
vad37,2025-11,0.0
vivekz,2025-11,0.0
wafflewizard,2025-11,0.0
waze,2025-11,0.0
whitehair0330,2025-11,0.0
willy_petrus,2025-11,0.0
wuji,2025-11,0.0
x86sgn,2025-11,0.0
xalismx,2025-11,0.0
yaioxy,2025-11,0.0
yeahchibyke,2025-11,0.0
zabid27,2025-11,0.0
zafin,2025-11,0.0
zeronautx,2025-11,0.0
montecristo,2025-10,28413.09
hgrano,2025-10,27086.77
hunterrrrrrr,2025-10,11507.400000000001
pfapostol,2025-10,6110.03
opabatyo,2025-10,5224.75
farman1094,2025-10,3166.68
givn,2025-10,3166.68
rvierdiiev,2025-10,3166.68
piki,2025-10,3078.13
agontuk,2025-10,2867.2799999999997
dreamcoder,2025-10,2776.33
fullstop,2025-10,2137.14
jerry0422,2025-10,1828.42
0xnija,2025-10,1823.21
osok,2025-10,1574.75
0xvd,2025-10,1449.0700000000002
huntoor,2025-10,1382.29
rayss,2025-10,1364.33
zcai,2025-10,1286.7
0xfbi,2025-10,1218.95
harry,2025-10,1212.5
odeili,2025-10,1211.69
ibukun,2025-10,1210.52
newspacexyz,2025-10,1006.27
niffylord,2025-10,925.06
ayden,2025-10,918.9300000000001
adecs,2025-10,884.21
zanybonzy,2025-10,842.72
0xki,2025-10,812.63
vagner,2025-10,808.2399999999999
0xdjango,2025-10,771.5
arturtoros,2025-10,769.8000000000001
0x18a6,2025-10,769.47
mylifechangefast_eth,2025-10,769.47
eta,2025-10,589.47
juggernaut63,2025-10,524.62
ljj,2025-10,524.62
nexarion,2025-10,524.62
axelot,2025-10,493.33
francohacker,2025-10,490.69
nora,2025-10,490.69
k42,2025-10,377.43
angry_mustache_man,2025-10,347.01
nyxaris,2025-10,325.08
sparrow,2025-10,315.8
dee24,2025-10,292.96
olami978355,2025-10,292.96
kimnoic,2025-10,290.65
bluedragon101,2025-10,227.37
0xgeeee,2025-10,198.29
ohmoudits,2025-10,198.29
rare_one,2025-10,198.29
shaflow2,2025-10,198.29
sl1,2025-10,198.29
0xseer,2025-10,197.78
etherengineer,2025-10,155.95
ibrahimatix0x01,2025-10,153.64
hecker_trieu_tien,2025-10,152.14
maze,2025-10,152.14
saraswati,2025-10,152.14
xander,2025-10,152.14
kineticsofweb3,2025-10,151.58
chainsentry,2025-10,75.02000000000001
manosh19,2025-10,58.89
johnyfwesh,2025-10,40.92
audittens,2025-10,40.59
deeney,2025-10,40.59
elite-,2025-10,40.59
halfbloodprince,2025-10,40.59
hassan-truscova,2025-10,40.59
ixam,2025-10,40.59
legend,2025-10,40.59
valarislife,2025-10,40.59
ziusz,2025-10,40.59
invariantex,2025-10,36.74
mbuba666,2025-10,36.74
blokfrank,2025-10,35.93
adriansham99,2025-10,34.43
freescore,2025-10,34.43
omeiza,2025-10,34.43
poteater,2025-10,34.43
waze,2025-10,34.43
whiterabbit,2025-10,34.43
wojack,2025-10,34.43
kkkkk,2025-10,8.600000000000001
cowboy,2025-10,6.29
bala1796,2025-10,5.96
cy97,2025-10,5.96
jectaw,2025-10,5.96
jsmaxi,2025-10,5.96
klau5,2025-10,5.96
mahmud,2025-10,5.96
nstatoshi,2025-10,5.96
oxwhite,2025-10,5.96
petrus,2025-10,5.96
sudais_b,2025-10,5.96
asui,2025-10,4.95
0xbugslayer,2025-10,3.81
classic-k,2025-10,3.81
silver_eth,2025-10,3.81
the_haritz,2025-10,3.81
0xauditagent,2025-10,2.31
0xjason,2025-10,2.31
0xraz,2025-10,2.31
albert,2025-10,2.31
boy2000,2025-10,2.31
itsravin0x,2025-10,2.31
kjc,2025-10,2.31
kmkm,2025-10,2.31
kuwatakushi,2025-10,2.31
lhoussaineph,2025-10,2.31
luncy,2025-10,2.31
oct0pwn,2025-10,2.31
onyxaudits,2025-10,2.31
sourav_dev,2025-10,2.31
testnate,2025-10,2.31
shieldrey,2025-10,1.83
0xdemon,2025-10,1.5
0xpsb,2025-10,1.5
almanax,2025-10,1.5
coheeyang,2025-10,1.5
izuman,2025-10,1.5
kestyvickky,2025-10,1.5
khaye26,2025-10,1.5
mozi,2025-10,1.5
queen,2025-10,1.5
reidnerfm,2025-10,1.5
rzizah,2025-10,1.5
sancybars,2025-10,1.5
sejin,2025-10,1.5
zoox,2025-10,1.5
zubyoz,2025-10,1.5
ht111111,2025-10,0.43
0xdaxn,2025-10,0.33
0xpetern,2025-10,0.33
alltoowell,2025-10,0.33
cd_pandora,2025-10,0.33
commando,2025-10,0.33
dmdg321,2025-10,0.33
edoscoba,2025-10,0.33
halalaudits,2025-10,0.33
inh3l,2025-10,0.33
justuzair,2025-10,0.33
manaalwk,2025-10,0.33
max10afternoon,2025-10,0.33
merlin,2025-10,0.33
mrdafidi,2025-10,0.33
mrfreedom,2025-10,0.33
nexusaudits,2025-10,0.33
psyone,2025-10,0.33
soloking,2025-10,0.33
teoslaf,2025-10,0.33
wafflewizard,2025-10,0.33
y4y,2025-10,0.33
0x1998,2025-10,0.0
0x_kmr_,2025-10,0.0
0xbrett8571,2025-10,0.0
0xkrodhan,2025-10,0.0
0xshdax,2025-10,0.0
0xsolisec,2025-10,0.0
albort,2025-10,0.0
ameng,2025-10,0.0
aster,2025-10,0.0
august1_,2025-10,0.0
bale,2025-10,0.0
biomatrix,2025-10,0.0
boodieboodieboo,2025-10,0.0
cryptowhale,2025-10,0.0
daniel526,2025-10,0.0
dest1ny_rs,2025-10,0.0
djshan_eden,2025-10,0.0
escrow,2025-10,0.0
eurovickk,2025-10,0.0
felconsec,2025-10,0.0
foxb868,2025-10,0.0
ganesh_197,2025-10,0.0
holtzzx,2025-10,0.0
hyp3rion123,2025-10,0.0
iafrika,2025-10,0.0
jesse,2025-10,0.0
josh4324,2025-10,0.0
kirkeelee,2025-10,0.0
kwad,2025-10,0.0
l3gb,2025-10,0.0
luckygru,2025-10,0.0
lufp,2025-10,0.0
markoliver,2025-10,0.0
marsspacex,2025-10,0.0
meks079,2025-10,0.0
merlin_san,2025-10,0.0
mhayatt,2025-10,0.0
mrunal2610,2025-10,0.0
nathan47,2025-10,0.0
novathemachine,2025-10,0.0
pv,2025-10,0.0
rhaloh_ke,2025-10,0.0
rubencrxz,2025-10,0.0
siddiqx786,2025-10,0.0
slavina,2025-10,0.0
slvdev,2025-10,0.0
swordfish,2025-10,0.0
th3_hybrid,2025-10,0.0
thecarrot,2025-10,0.0
tourists,2025-10,0.0
trilobytes,2025-10,0.0
unique,2025-10,0.0
yixuan,2025-10,0.0
youcrossthelinealfie,2025-10,0.0
zzkiel,2025-10,0.0
oct0pwn,2025-09,168782.57
0xasen,2025-09,55718.229999999996
mohamedfahmy,2025-09,46847.07000000001
radiantlabs,2025-09,35435.07
dontonka,2025-09,32185.96
evo,2025-09,29969.68
inh3l,2025-09,29969.68
theschnilch,2025-09,26031.05
almanax,2025-09,19153.989999999998
0x15,2025-09,18506.92
matte,2025-09,18452.21
lian886,2025-09,15258.84
0xphantom,2025-09,12475.11
dieempty,2025-09,12475.11
johnyfwesh,2025-09,10552.36
ev_om,2025-09,10486.53
valarislife,2025-09,10486.53
zeroex,2025-09,7217.7
codegpt,2025-09,6315.79
juggernaut63,2025-09,5552.08
minato7namikazi,2025-09,5552.08
0xbrett8571,2025-09,4210.53
cryptor,2025-09,4128.23
zubyoz,2025-09,4128.23
jorgect,2025-09,2525.97
questcequecest,2025-09,2525.97
rhaydden,2025-09,2400.0
kkkkk,2025-09,2084.21
niffylord,2025-09,1942.7
fromeo_016,2025-09,1894.48
0xvd,2025-09,1704.83
keccakcrew,2025-09,1704.83
luncy,2025-09,1704.83
zcai,2025-09,1704.83
k42,2025-09,1600.0
timijcool,2025-09,1389.47
afriauditor,2025-09,926.32
pashap9990,2025-08,84645.82
farman1094,2025-08,35821.63
rvierdiiev,2025-08,35821.63
benrai,2025-08,17903.83
givn,2025-08,11710.92
hgrano,2025-08,10897.93
klosmitsoss,2025-08,10517.529999999999
vincigearhead,2025-08,6994.0
almanax,2025-08,5684.419999999999
dan__vinci,2025-08,5548.139999999999
faculty1,2025-08,5300.87
lodelux,2025-08,5142.0599999999995
maxzuvex,2025-08,4299.13
anchabadze,2025-08,4050.92
jerry0422,2025-08,3318.47
zanybonzy,2025-08,3003.9500000000003
dimulski,2025-08,2918.05
codegpt,2025-08,2831.2000000000003
0xshitgem,2025-08,2380.2799999999997
0xphantom,2025-08,2237.6099999999997
ephraim,2025-08,2210.53
ivanalexandur,2025-08,2106.72
orhukl,2025-08,1894.74
sarugami,2025-08,1684.21
severitysquad,2025-08,1530.29
ifex445,2025-08,1528.88
taticuvostru,2025-08,1475.56
leogold,2025-08,1473.68
0xnija,2025-08,1376.89
avantgard,2025-08,1297.81
0xozovehe,2025-08,1263.16
dhank,2025-08,1145.3799999999999
web3vikings,2025-08,1137.14
gizzy,2025-08,1126.83
udogodwin,2025-08,1083.17
0rpse,2025-08,1012.73
nuthan2x,2025-08,999.55
highkingmargo,2025-08,963.0999999999999
matte,2025-08,960.0
sid_sisodia,2025-08,960.0
niffylord,2025-08,851.36
rare_one,2025-08,842.11
hezze,2025-08,824.9799999999999
stormy,2025-08,791.38
4nescient,2025-08,788.49
izuman,2025-08,788.49
psycharis,2025-08,788.49
riceee,2025-08,772.06
vad37,2025-08,741.61
manga,2025-08,698.03
mrmorningstar,2025-08,693.3499999999999
serial-coder,2025-08,628.35
bigsam,2025-08,612.43
0xterrah,2025-08,606.77
lonelybones,2025-08,606.77
rhaydden,2025-08,606.54
insecuremary,2025-08,606.53
lostopcode,2025-08,606.53
menace,2025-08,606.53
mike_bello90,2025-08,606.53
nikhil840096,2025-08,606.53
0xmilenov,2025-08,555.95
nem0thefinder,2025-08,501.26
0xsagetony,2025-08,440.24
bale,2025-08,440.21
centaur,2025-08,415.11
codertjay,2025-08,415.11
axelot,2025-08,412.44
r1ver,2025-08,410.38
pelz,2025-08,401.37
levantequarini,2025-08,398.7
pro_king,2025-08,398.7
0xrex,2025-08,331.58
aasifusmani,2025-08,315.46
qpzm,2025-08,294.82
egbe,2025-08,292.15999999999997
jayx,2025-08,292.15
leoscant,2025-08,292.15
slowpoke,2025-08,292.15
zeroex,2025-08,291.35
kimnoic,2025-08,288.06
bowtiedoriole,2025-08,278.02
saraswati,2025-08,232.08
k42,2025-08,221.05
kuwatakushi,2025-08,168.81
agadzhalov,2025-08,168.7
gesha17,2025-08,168.66
neon2835,2025-08,168.45
ret2basic,2025-08,162.42999999999998
polarizedlight,2025-08,147.37
nexusaudits,2025-08,128.62
prk0,2025-08,126.02
dreamcoder,2025-08,122.28
0xtiwa,2025-08,119.61
jpmendes,2025-08,119.61
pfapostol,2025-08,119.61
valicera,2025-08,119.61
ayomiposi233,2025-08,119.19
nachin,2025-08,113.72
willi-i-am,2025-08,113.72
romans,2025-08,113.12
roccomania,2025-08,110.48
harry,2025-08,94.17
newspacexyz,2025-08,92.81
etherengineer,2025-08,91.71
lioblaze,2025-08,91.5
oracle-script,2025-08,91.5
mahdifa,2025-08,84.48
0xdemon,2025-08,82.26
olugbenga,2025-08,82.26
yaneca_b,2025-08,82.26
0xnan,2025-08,78.01
aristos,2025-08,75.65
avalance,2025-08,75.65
ivcho332,2025-08,75.65
mishoko,2025-08,75.65
soprobro,2025-08,75.65
utsav,2025-08,75.65
konstantinvelev,2025-08,73.38
0xanony,2025-08,71.16
nonso72,2025-08,70.91999999999999
0xiconart,2025-08,70.72
johnyfwesh,2025-08,70.72
djshan_eden,2025-08,70.71
kwad,2025-08,57.760000000000005
zzebra83,2025-08,55.34
halfbloodprince,2025-08,55.09
makarov,2025-08,55.09
mbuba666,2025-08,55.09
jesjupyter,2025-08,46.89
max10afternoon,2025-08,43.82
nyxaris,2025-08,37.67
matin,2025-08,28.25
chaos304,2025-08,11.72
queen,2025-08,9.280000000000001
bigbear1229,2025-08,9.26
legend,2025-08,9.25
ekene,2025-08,9.02
deividrobinson,2025-08,9.01
kaysoft,2025-08,9.01
la-arana-inteligente,2025-08,9.01
randomx,2025-08,9.01
boredpukar,2025-08,6.8500000000000005
0xgh0st,2025-08,6.61
0xvi,2025-08,6.61
dd0x7e8,2025-08,6.61
dimah7,2025-08,6.61
honey-k12,2025-08,6.61
hrmneffdii,2025-08,6.61
ironsidesec,2025-08,6.61
itsravin0x,2025-08,6.61
natachi,2025-08,6.61
oxchsyston,2025-08,6.61
rashmor,2025-08,6.61
slowbugmayor,2025-08,6.61
vesko210,2025-08,6.61
deccs,2025-08,6.3500000000000005
c0pp3rscr3w3r,2025-08,6.15
wolf_kalp,2025-08,6.15
poteater,2025-08,6.11
random1106,2025-08,5.91
cu5t0mpeo,2025-08,5.9
dna-thug,2025-08,5.9
nexarion,2025-08,5.9
osok,2025-08,5.9
tobechukwuazogu,2025-08,5.9
edantes,2025-08,4.42
lanyi2023,2025-08,3.47
solidityscan,2025-08,2.91
0xgutzzz,2025-08,2.67
4ny0n3,2025-08,2.67
fullstop,2025-08,2.67
meshaqrapha,2025-08,2.67
mohitismmortal,2025-08,2.67
player,2025-08,2.67
rbd3,2025-08,2.67
theweb3mechanic,2025-08,2.67
typicalhuman,2025-08,2.67
wolffey,2025-08,2.67
0xsai,2025-08,0.45999999999999996
magiccentaur,2025-08,0.45999999999999996
juggernaut63,2025-08,0.44999999999999996
0xasen,2025-08,0.39
falsegenius,2025-08,0.25
madsisyphus,2025-08,0.25
blackanon,2025-08,0.24
0x_dydx,2025-08,0.22
chainsentry,2025-08,0.22
aestheticbhai,2025-08,0.21
